epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7469,3.97822,9.82685,0.77178,9.78324,4.40476,0,0,0,0,0,0,0,0,4.48273,9.99263,0.70471,9.13515,4.15904,2e-05,2e-05,2e-05
2,35.1816,3.92505,9.86619,0.77945,10.1053,4.56374,0,0,0,0,0,0,0,0,4.48232,9.99294,0.70479,9.1354,4.15911,5.406e-05,5.406e-05,5.406e-05
3,52.4167,3.85466,9.70343,0.77201,9.08391,4.29565,0,0,0,0,0,0,0,0,4.48192,9.99311,0.70485,9.1361,4.15918,8.02e-05,8.02e-05,8.02e-05
4,69.6384,3.91609,9.78352,0.75239,9.75603,4.331,0,0,0,0,0,0,0,0,4.48167,9.99319,0.70492,9.13569,4.15935,9.842e-05,9.842e-05,9.842e-05
5,86.9869,3.78686,9.68526,0.76242,9.32467,4.28276,0,0,0,0,0,0,0,0,4.48166,9.99327,0.70499,9.13542,4.15968,0.00010872,0.00010872,0.00010872
6,104.331,3.57688,9.47989,0.77424,9.1962,4.2176,0,0,0,0,0,0,0,0,4.48196,9.99336,0.70512,9.1346,4.16019,0.0001111,0.0001111,0.0001111
7,121.57,3.58104,9.43777,0.76622,8.62936,4.31788,0,0,0,0,0,0,0,0,4.4825,9.99351,0.70531,9.13433,4.16088,0.00010556,0.00010556,0.00010556
8,138.933,3.46487,9.40762,0.73322,9.05999,4.17088,0,0,0,0,0,0,0,0,4.48326,9.99372,0.70556,9.13167,4.16171,9.21e-05,9.21e-05,9.21e-05
9,156.171,3.51345,9.40574,0.71771,8.71118,4.21381,0,0,0,0,0,0,0,0,4.48374,9.99386,0.70571,9.131,4.16219,7.072e-05,7.072e-05,7.072e-05
10,173.421,3.38758,9.26009,0.75793,8.55142,4.13524,0,0,0,0,0,0,0,0,4.48487,9.99428,0.70603,9.13367,4.16323,4.142e-05,4.142e-05,4.142e-05
